startup_name,active_opinion_by_cms,location,hq,founded_date,industry_vertical,horizontal,operating_status,funding_status,employees,funding_round_1_investment,founder_round_1_investors,funding_round_1_date,funding_round_2_investment,founder_round_2_investors,funding_round_2_date,primary_industry,city,founders
Fotisto,,Lahore,Asia-Pacific,,"Artificial Intelligence, Crm, Saas","Content Creators, Photography",Active,Seed,1 to 10,15000.0,,2019-02-01,,,,Artificial Intelligence,Lahore,Haider Tariq Rashid Awan
ProPakistani,Y,Islamabad,Asia-Pacific,,"Digital Media, Information Technology",,Active,Early Stage Venture,1 to10,,"Eikon 7,The Interactive Group,Umayr Abbasi, Usman Yousuf",2019-07-26,,,,Digital Media,Islamabad,Aamir Attaa
She´Kab,,Islamabad,Asia-Pacific,,"Information Technology, Transportation",,Active,Seed,1 to 10,150000.0,Katapult Accelerator,2017-07-31,,,,Information Technology,Islamabad,Hira Rizvi
Healthcare Matrix,,"Karachi,",Asia-Pacific,2016-01-01,,,Active,Seed,1 to 10,,,2016-05-11,2200.0,,2018-12-16,Unknown,Karachi,"Juwairiah Zia,, Samreen Hussain,, Talha Tariq"
PakWheels.com,Y,Gulberg,Asia-Pacific,,Automotive,,Active,Early Stage Venture,101-250,3500000.0,Frontier Digital Ventures,2014-10-31,,,,Automotive,Lahore,
Phone bech dou,,"Lahore, Punjab,Pakistan",Asia-Pacific,,Mobile,Mobile devices,Active,Seed,1 to 10,1000000.0,,2018-07-01,,,,Mobile,Lahore,Mikhail alam
beSpider,,"Gujrat, Punjab, Pakistan",Asia-Pacific,2012-01-01,It Services,"Web development, Mobile App",Active,Seed,1 to 10,10000.0,,2012-08-02,,,,It Services,Gujrat,Zagham Naseem
Nearpeer.org,Y,"Lahore,",Asia-Pacific,,,,Active,Seed,1 to 10,100000.0,,2015-10-25,,,,Unknown,Lahore,"Ammar Ali Ayub, Muhammad Hassan Raza,, Shahrukh Swati"
FindMyAdventure,Y,"Karachi, Sindh, Pakistan",Asia-Pacific,,Adventure Travel,E- commerce,Active,Seed,11 to 50,,,2019-03-13,,,,Adventure Travel,Karachi,Muhammad Komail Abbas
Telemart,,"Karachi,",Asia-Pacific,2014-01-01,E-Commerce,,Active,Seed,51-100,800000.0,,2014-02-05,,,,E-Commerce,Karachi,"Hamza Abdul Rauf Essa, Ahmed Rauf Essa"
MTA Games Lab,,"Karachi, Sindh, Pakistan",Asia-Pacific,,E-Gaming,E- commerce,Active,Angel,,5500.0,Kamran Yousuf,2014-02-03,,,,E-Gaming,Karachi,Muhammad Taha Alam
sabzi.pk,,"Lahore, Punjab,Pakistan",Asia-Pacific,,Food,E- commerce,Active,Seed,1 to 10,,,2016-07-18,,,,Food,Lahore,"Farooq Haider, Mafooq Ahmad"
Naseeb Networks,,"Lahore,",Asia-Pacific,2003-01-01,E-Commerce,,Active,Late Stage Venture,51-100,,,2003-12-01,2000000.0,,2008-02-02,E-Commerce,Lahore,Monis Rahman
The Nest I/O,,Karachi,Asia-Pacific,2014-01-01,"Incubator, Information Technology",Information Services,Active,Seed,11 to 50,5000000.0,,2017-05-30,,,,Incubator,Karachi,Jehan Ara
Baseh Technologies,,"Karachi,Pakistan",Asia-Pacific,2017-01-01,Information Technology,Artificial Intelligence,Active,Seed,11 to 50,,Elahi Group of Companies,2019-01-29,,,,Information Technology,Karachi,Anis Shiekh
Shopistan Logo,Y,"Lahore,",Asia-Pacific,2013-01-01,E-Commerce,,Active,Seed,51-100,300000.0,,2013-12-23,,,,E-Commerce,Lahore,Ali Aziz
Proqura,,"Lahore,",Asia-Pacific,,Procurement,,Active,Seed,11 to 50,250000.0,,,330000.0,,2017-12-15,Procurement,Lahore,Haroon Sethi
PERKUP,,"Karachi,",Asia-Pacific,2015-01-01,Advertising,,Active,Seed,11 to 50,140000.0,,2016-03-26,,,,Advertising,Karachi,"Abdullah Soomro, Hasan Qureshi"
AdBira Network,,Faisalabad,Asia-Pacific,,Advertising,,Active,Late Stage Venture,51-100,,,2013-02-05,1300000.0,,2013-11-15,Advertising,Faisalabad,
SadaPay,Y,"Islamabad, Islamabad, Pakistan",Asia-Pacific,,Fintech,"Banking, Financial services",Active,Seed,11 to 50,,,,,,,Fintech,Islamabad,Brandon Tminsky
DOSAFAR,,Karachi,Asia-Pacific,,"Fleet Management, Logistics, Transportation",,Active,Seed,11 to 50,65000.0,Tricap Investments,2016-03-10,,,,Fleet Management,Karachi,
MediaTok,,"Islamabad,Pakistan",Asia-Pacific,2019-01-01,Digital Media,"Publishing, News",Active,Seed,1 to 10,,,2020-03-20,,,,Digital Media,Islamabad,Fahad Waheed Khan
Orbit-Ed,,"Islamabad, Islamabad, Pakistan",Asia-Pacific,,Education,"App, Online",Active,Seed,,,"Startupbootcamp, Startupbootcamp Commerce Amsterdam",2018-01-01,,,,Education,Islamabad,"Navera Waheed, Wajiha Habib"
MeriTaleem,,"Islamabad,Pakistan",Asia-Pacific,2013-01-01,Education,Education consultancy,Active,Seed,1 to 10,,,2014-08-21,,,,Education,Islamabad,Usama Shahid Khan
Dheere Bolo,,Islamabad,Asia-Pacific,2014-01-01,"Education, Content",,Active,Seed,,,Invest2Innovate,2014-08-21,,,,Education,Islamabad,Nadine Murtaza
Souchaj Couture Company,,Lahore,Asia-Pacific,2017-01-01,Fashion,,Active,Seed,11 to 50,,Walled City Co,2017-07-02,,,,Fashion,Lahore,
PriceMatch,,"Lahore, Pakistan",Asia-Pacific,2012-01-01,Retail,Ecommerce,Active,Seed,,90000.0,,2012-12-13,,,,Retail,Lahore,
